id,name,producer,country,region,zone,denomination,vintage,grape_varieties,color,color_detail,body,tannins,acidity,quality,balance,persistence,alcohol_level,sweetness,food_pairings,occasion,style_tags,price_avg,price_min,availability,purchase_url,description,aromas
19,Ribolla Gialla Collio DOC,,Italy,Friuli-Venezia Giulia,Collio,Collio,2023,ribolla gialla,white,white,low,low,high,4.0,4.1,3.9,12.5,dry,pesce_griglia|risotto_verdure|stuzzichini_tartine,aperitif,fresco;agrumi;floreale,17.5,15.0,available,,"Bianco fresco e floreale con limone, fiori e finale sapido.","agrumi, fiori, minerale, frutta_bianca"
20,Nero d'Avola Sicilia DOC,,Italy,Sicilia,Sicilia,Sicilia,2022,nero d'avola,red,red,medium,medium,medium,3.9,3.9,3.8,13.5,dry,carne_arrosto_grigliata|pasta_sugo_verdure,dinner,fruttato;speziato,11.9,9.9,available,,"Rosso mediterraneo con mora, prugna e spezie leggere.","frutta_nera, spezie, ciliegia, balsamico"
21,Riesling Alto Adige DOC,,Italy,Trentino-Alto Adige,Alto Adige,Alto Adige,2023,riesling,white,white,low,low,high,4.1,4.1,4.0,12.0,dry,formaggi_stagionati|pesce_crostacei_vapore|pesce_griglia,dinner,minerale;agrumi;idrocarburi,19.5,17.0,available,,"Bianco teso e minerale con lime, pesca e tipica nota idrocarburica.","pesca, agrumi, fiori, minerale"
22,Cerasuolo d'Abruzzo DOC,Valentini,Italy,Abruzzo,Abruzzo,Cerasuolo d'Abruzzo,2023,montepulciano,rose,rose,medium,low,medium,4.2,4.2,4.1,13.0,dry,affettati_salumi|pesce_griglia|pizza|stuzzichini_tartine,summer,fresco;fruttato;scorrevole,16.0,14.0,available,,"Rosato intenso e fresco: ciliegia, melograno e note floreali. Versatile dall’aperitivo alla pizza.","ciliegia, fragola, spezie, minerale"
23,Chiaretto di Bardolino DOC,,Italy,Veneto,Bardolino,Bardolino Chiaretto,2023,corvina;rondinella;molinaro,rose,rose,low,low,medium,4.1,4.1,4.0,12.5,dry,frittura_pesce|pesce_griglia|risotto_verdure|stuzzichini_tartine,aperitif,fresco;floreale;leggero,12.0,10.0,available,,"Rosato delicato e fragrante con fragolina, agrumi e finale sapido. Perfetto per aperitivo e piatti leggeri.","fragola, agrumi, fiori"
24,Côtes de Provence Rosé AOC,Domaine de Provence,France,Provence,Côtes de Provence,Côtes de Provence,2023,grenache;cinsault;syrah,rose,rose,low,low,medium,4.2,4.2,4.0,12.5,dry,pasta_sugo_verdure|pesce_griglia|risotto_verdure|stuzzichini_tartine,summer,fresco;minerale;agrumi,18.0,16.0,available,,"Rosé provenzale fine e minerale: pompelmo, pesca bianca e note saline. Ideale per aperitivo e pesce.","fragola, agrumi, fiori, pepe"
25,Chablis AOC Domaine,Domaine Martin,France,Bourgogne,Chablis,Chablis,2023,chardonnay,white,white,medium,low,high,4.3,4.4,4.2,12.5,dry,pesce_crostacei_vapore|sushi_sashimi|tartare_pesce,dinner,minerale;agrumi;teso,28.0,24.0,available,,"Bianco teso e minerale con limone, pietra focaia e grande freschezza. Ideale con sushi e crudi di pesce.","agrumi, minerale, fiori"
26,Etna Bianco DOC,,Italy,Sicilia,Etna,Etna Bianco,2023,carricante,white,white,medium,low,high,4.4,4.3,4.2,13.0,dry,antipasti_pesce_affumicato|pesce_griglia|tartare_pesce,dinner,minerale;salino;agrumi,26.0,22.0,available,,Bianco vulcanico con agrumi e note saline. Perfetto con tartare e pesce affumicato.,"agrumi, minerale, fiori, pepe"
27,Soave Classico DOC,,Italy,Veneto,Soave,Soave Classico,2023,garganega,white,white,medium,low,medium,3.9,4.0,3.8,12.5,dry,antipasti_pesce_affumicato|pesce_griglia|stuzzichini_tartine,aperitif,fresco;floreale;mandorla,14.0,11.5,available,,Bianco fresco con fiori bianchi e mandorla. Ottimo con antipasti e salmone affumicato.,"agrumi, fiori, minerale"
28,Vermentino di Gallura DOCG,,Italy,Sardegna,Gallura,Vermentino di Gallura,2023,vermentino,white,white,medium,low,high,4.2,4.2,4.1,13.5,dry,pesce_griglia|pesce_umido|zuppa_pesce_bianco,dinner,minerale;agrumi;salino,19.0,16.5,available,,"Bianco sapido e agrumato, ideale per zuppe di pesce in bianco e piatti di mare in umido.","agrumi, fiori, minerale, pesca"
29,Rosato Salento IGP,,Italy,Puglia,Salento,Salento Rosato,2023,negroamaro,rose,rose,medium,low,medium,3.8,3.9,3.7,13.0,dry,pesce_umido|pizza|zuppa_pesce_pomodoro,summer,fruttato;fresco;scorrevole,13.5,11.0,available,,Rosato fresco e fruttato con note di fragola e pompelmo. Ottimo con zuppe di pesce al pomodoro.,"fragola, agrumi, spezie"
30,Verdicchio dei Castelli di Jesi DOC Classico,Umani Ronchi,Italy,Marche,Castelli di Jesi,Verdicchio dei Castelli di Jesi,2023,verdicchio,white,white,medium,low,high,4.2,4.2,4.1,13.0,dry,pesce_griglia|sushi_sashimi,dinner,minerale;agrumi;teso,14.9,12.9,available,,"Sapido e agrumato, ottimo su sushi e sashimi; chiusura pulita e minerale.","agrumi, fiori, minerale, pesca"
31,Franciacorta DOCG Brut,Berlucchi,Italy,Lombardia,Franciacorta,Franciacorta,NV,chardonnay;pinot nero,white,sparkling,medium,low,high,4.4,4.4,4.3,12.5,dry,stuzzichini_tartine|tartare_pesce,aperitif,elegante;metodo classico;brut;crosta di pane,32.0,28.0,available,,"Bollicina fine e secca, perfetta per tartare di pesce e antipasti eleganti.","agrumi, fiori, tostato, minerale"
32,Etna Bianco DOC,Benanti,Italy,Sicilia,Etna,Etna Bianco,2022,carricante,white,white,medium,low,high,4.3,4.2,4.2,12.5,dry,pesce_umido|zuppa_pesce_bianco,dinner,minerale;sapido;agrumi,24.0,20.0,available,,"Minerale e sapido, regge bene zuppe di pesce in bianco e piatti di mare in umido.","agrumi, minerale, fiori, pesca"
33,Cerasuolo d'Abruzzo DOC,Masciarelli,Italy,Abruzzo,Abruzzo,Cerasuolo d'Abruzzo,2023,montepulciano,rose,rose,medium,low,medium,4.1,4.1,4.0,13.0,dry,pesce_griglia|zuppa_pesce_pomodoro,summer,fruttato;fresco;versatile,12.5,10.9,available,,Rosato più “gastronomico”: ottimo con zuppe di pesce al pomodoro e grigliate di mare.,"ciliegia, fragola, spezie, minerale"
34,Riesling Alto Adige DOC,,Italy,Trentino-Alto Adige,Alto Adige,Alto Adige,2023,riesling,white,white,low,low,high,4.2,4.1,4.1,12.0,dry,antipasti_pesce_affumicato|sushi_sashimi,dinner,agrumi;teso;minerale,19.5,17.0,available,,"Teso e agrumato: funziona benissimo su pesce affumicato (salmone, trota) e crudi.","agrumi, pesca, fiori, minerale"
35,Vermentino Riviera Ligure DOC,,Italy,Liguria,Riviera Ligure,Riviera Ligure di Ponente,2023,vermentino,white,white,low,low,high,4.0,4.1,3.9,12.5,dry,antipasti_caldi_pesce,aperitif,fresco;agrumi;minerale,15.0,13.0,available,,"Bianco fresco e sapido: agrumi, erbe mediterranee e finale salino. Perfetto con antipasti caldi di pesce.","agrumi, fiori, minerale"
36,Verdicchio dei Castelli di Jesi DOC Classico,,Italy,Marche,Castelli di Jesi,Verdicchio dei Castelli di Jesi,2023,verdicchio,white,white,medium,low,high,4.2,4.2,4.1,13.0,dry,pasta_pesce_bianco,dinner,minerale;mandorla;fresco,14.5,12.0,available,,"Sapido e strutturato, agrumi e mandorla. Ottimo con pasta al pesce in bianco.","agrumi, fiori, minerale, pesca"
37,Etna Rosato DOC,,Italy,Sicilia,Etna,Etna,2023,nerello mascalese,rose,rose,low,low,high,4.1,4.1,4.0,12.5,dry,pasta_pesce_pomodoro,summer,fresco;fruttato;sapido,18.0,16.0,available,,"Rosato teso e minerale: fragolina, agrumi e note saline. Perfetto con pasta al pesce col pomodoro.","fragola, ciliegia, minerale, fiori"
38,Montepulciano d'Abruzzo DOC,,Italy,Abruzzo,Abruzzo,Montepulciano d'Abruzzo,2022,montepulciano,red,red,medium,medium,medium,3.8,3.8,3.7,13.5,dry,pasta_sugo_carne,everyday,frutta rossa;speziato;scorrevole,12.0,10.0,available,,Rosso conviviale con ciliegia e spezie leggere. Ideale con pasta al sugo di carne.,"frutta_nera, spezie, cuoio, balsamico"
39,Chardonnay Alto Adige DOC,,Italy,Trentino-Alto Adige,Alto Adige,Alto Adige,2023,chardonnay,white,white,medium,low,high,4.1,4.1,4.0,13.0,dry,risotto_frutti_mare,dinner,elegante;agrumi;crosta di pane,19.0,16.5,available,,Bianco elegante e cremoso con agrumi e note di crosta di pane. Perfetto su risotto ai frutti di mare.,"pesca, agrumi, minerale, vaniglia"
40,Barbera d'Asti DOCG,,Italy,Piemonte,Asti,Barbera d'Asti,2022,barbera,red,red,medium,medium_low,high,4.0,4.1,4.0,14.0,dry,risotto_sugo_carne,dinner,succoso;frutta rossa;acidità viva,16.0,13.5,available,,Rosso succoso con ciliegia e buona freschezza: regge bene risotti con sugo di carne.,"frutta_rossa, ciliegia, spezie, tostato"
41,Prosecco DOC Extra Dry,,Italy,Veneto,Treviso,Prosecco,NV,glera,white,sparkling,low,low,high,3.9,4.0,3.8,11.5,off_dry,uova_torte_salata,aperitif,spumante;fruttato;leggero,11.0,9.5,available,,Bollicina semplice e fragrante: pera e fiori bianchi. Ottimo con uova e torte salate.,"fiori, agrumi, frutta_bianca"
42,Passito di Pantelleria DOC,,Italy,Sicilia,Pantelleria,Passito di Pantelleria,2021,zibibbo,white,sweet,high,low,medium,4.3,4.2,4.4,14.0,sweet,formaggi_erborinati,important_dinner,dolce;albicocca;miele,32.0,28.0,available,,"Dolce intenso con albicocca, miele e scorza d’agrumi. Match classico con formaggi erborinati.","albicocca, miele, spezie, balsamico"
51,Pauillac AOC,Chateau Lynch-Bages,France,Bordeaux,Pauillac,Pauillac,2019,cabernet sauvignon;merlot;cabernet franc;petit verdot,red,ruby_red,high,medium_plus,medium,4.8,4.7,4.8,13.5,dry,carne_rossa_umido|selvaggina|formaggi_stagionati,important_dinner,elegante;longevo;complesso;blasone,145.0,125.0,available,,"Bordeaux di riferimento: cassis, cedro, tabacco e trama fitta, autorevole ma raffinato.","frutta_nera, cuoio, tabacco, spezie"
52,Champagne AOC Special Cuvee,Bollinger,France,Champagne,Aÿ,Champagne,NV,pinot noir;chardonnay;pinot meunier,white,straw_yellow,medium,low,high,4.8,4.7,4.8,12.0,brut,aperitivo|crostacei_molluschi|pesce_crudo,important_dinner,elegante;metodo classico;brut;prestigioso,78.0,68.0,available,,"Champagne di riferimento, profondo e vinoso, con crosta di pane, agrumi e finale autorevole.","agrumi, fiori, tostato, brioche"
53,Champagne AOC Collection,Louis Roederer,France,Champagne,Reims,Champagne,NV,chardonnay;pinot noir;pinot meunier,white,straw_yellow,medium,low,high,4.8,4.8,4.7,12.0,brut,aperitivo|pesce_crudo|crostacei_molluschi,important_dinner,elegante;metodo classico;brut;prestigioso,72.0,62.0,available,,"Champagne raffinato e luminoso, agrumi, gesso e nocciola, molto preciso e di grande figura.","agrumi, fiori, tostato, vaniglia"
54,Riesling Alsace AOC,Trimbach,France,Alsace,Ribeauville,Alsace Riesling,2021,riesling,white,straw_yellow,medium,low,high,4.5,4.6,4.4,12.5,dry,pesce_crudo|crostacei_molluschi|cucina_orientale,important_dinner,elegante;minerale;teso;agrumi,34.0,28.0,available,,"Alsazia di riferimento, secco e slanciato, con agrumi, pietra e finale netto.","agrumi, fiori, minerale, pesca"
55,Mosel Riesling Kabinett,Joh. Jos. Prum,Germany,Mosel,Wehlen,Mosel Riesling,2022,riesling,white,straw_yellow,medium,low,high,4.7,4.8,4.6,8.5,off_dry,cucina_orientale|formaggi_erborinati|pesce_crudo,important_dinner,elegante;teso;minerale;longevo,48.0,42.0,available,,"Riesling della Mosella di grande classe, leggerissimo ma profondo, tra lime, ardesia e finezza.","agrumi, pesca, fiori, minerale"
56,Pinot Nero Alto Adige DOC,Franz Haas,Italy,Alto Adige,Mazzon,Alto Adige Pinot Nero,2021,pinot nero,red,ruby_red,medium,medium_low,high,4.6,4.7,4.5,13.5,dry,carne_bianca|funghi_tartufo|anatra,important_dinner,elegante;frutto rosso;speziato;finezza,54.0,46.0,available,,"Pinot nero altoatesino di riferimento, floreale e fine, con trama elegante e grande slancio.","ciliegia, rosa, minerale, spezie"
57,Rebula Brda,Edi Simcic,Slovenia,Goriska Brda,Brda,Rebula,2021,rebula,white,straw_yellow,medium,low,high,4.5,4.5,4.4,13.0,dry,pesce_crudo|crostacei_molluschi|formaggi_stagionati,important_dinner,elegante;minerale;salino;agrumi,42.0,36.0,available,,"Bianco sloveno di rilievo, teso e sapido, con agrumi, erbe e grande precisione.","agrumi, fiori, minerale, balsamico"
58,Blanc de Morgex et de La Salle DOC,Ermes Pavese,Italy,Valle d'Aosta,Morgex et de La Salle,Blanc de Morgex et de La Salle,2022,prie blanc,white,straw_yellow,low,low,high,4.3,4.4,4.1,12.0,dry,aperitivo|pesce_crudo|formaggi_freschi,aperitif,elegante;alpino;minerale;fresco,30.0,25.0,available,,"Bianco valdostano di montagna, sottile e nervoso, con fiori alpini e grande freschezza.","agrumi, minerale, fiori, pesca"
59,Cesanese del Piglio DOCG,Damiano Ciolli,Italy,Lazio,Piglio,Cesanese del Piglio,2021,cesanese,red,ruby_red,medium,medium,medium,4.4,4.5,4.3,13.5,dry,pasta_sugo_carne|carne_arrosto_grigliata|salumi,important_dinner,elegante;speziato;frutto rosso;territoriale,34.0,28.0,available,,"Rosso laziale di rilievo, speziato e territoriale, con ciliegia, pepe e buona finezza.","frutta_nera, viola, spezie, cuoio"
60,Gevrey-Chambertin AOC,Domaine Armand Rousseau,France,Bourgogne,Gevrey-Chambertin,Gevrey-Chambertin,2021,pinot noir,red,ruby_red,medium,medium_low,high,4.9,4.8,4.8,13.5,dry,anatra|funghi_tartufo|carne_bianca,important_dinner,elegante;finezza;longevo;prestigioso,210.0,180.0,available,,"Borgogna rosso di grande rilievo, floreale e profondo, con trama finissima e autorevolezza assoluta.","ciliegia, rosa, spezie, cuoio"
61,Habemus Lazio IGP,San Giovenale,Italy,Lazio,Blera,Lazio Rosso,2020,grenache;syrah;carignan,red,ruby_red,high,medium_plus,medium,4.7,4.7,4.6,14.5,dry,carne_arrosto_grigliata|agnello|formaggi_stagionati,important_dinner,importante;elegante;mediterraneo;prestigioso,95.0,82.0,available,,"Rosso laziale di grande rilievo, intenso ma rifinito, con spezie, macchia mediterranea e notevole presenza scenica.","frutta_nera, spezie, pepe, cuoio"
62,Valpolicella Classico DOC,Allegrini,Italy,Veneto,Valpolicella,Valpolicella Classico,2023,corvina;corvinone;rondinella,red,ruby_red,low,medium_low,medium,3.8,3.9,3.5,12.5,secco,salumi|pasta_pomodoro|pizza,everyday,fresco;leggero;fruttato,12.00,10.00,common,,"Rosso veneto leggero e fruttato, ideale per tutti i giorni.","ciliegia, frutta_rossa, spezie, cuoio"
63,Grignolino d'Asti DOC,Braida,Italy,Piemonte,Asti,Grignolino d'Asti,2023,grignolino,red,light_ruby,low,medium_low,high,3.6,3.7,3.4,12.0,secco,salumi|antipasti|verdure,everyday;summer,leggero;fresco;elegante,14.00,11.00,common,,Rosso piemontese delicato con tannino sottile e buona acidità.,"fragola, ciliegia, spezie, fiori"
64,Frappato Sicilia DOC,Arianna Occhipinti,Italy,Sicilia,Vittoria,Sicilia,2023,frappato,red,light_ruby,low,low,medium,3.9,4.0,3.6,12.5,secco,pesce|verdure|pizza,summer;everyday,leggero;fruttato;floreale,18.00,15.00,limited,,"Rosso siciliano leggero e profumato, quasi da bere fresco.","ciliegia, fragola, spezie, minerale"
65,Schiava Alto Adige DOC,Cantina Terlan,Italy,Trentino-Alto Adige,Alto Adige,Alto Adige,2023,schiava,red,light_ruby,low,low,medium,3.5,3.6,3.3,12.0,secco,salumi|speck|canederli,everyday,leggero;fruttato;delicato,11.00,9.00,common,,Rosso altoatesino leggero e beverino con sentori di fragola.,"fragola, ciliegia, fiori, spezie"
66,Lagrein Alto Adige DOC,Cantina Terlan,Italy,Trentino-Alto Adige,Alto Adige,Alto Adige,2022,lagrein,red,deep_ruby,medium,medium,medium,4.0,4.0,3.8,13.0,secco,carne_rossa|formaggi_stagionati|selvaggina,dinner,strutturato;fruttato;speziato,16.00,13.00,common,,Rosso altoatesino con buona struttura e tannino equilibrato.,"frutta_nera, spezie, violetta, cuoio"
67,Bolgheri DOC Rosso Superiore,Tenuta San Guido,Italy,Toscana,Bolgheri,Bolgheri,2020,cabernet sauvignon;merlot;cabernet franc,red,deep_ruby,high,medium_plus,medium,4.9,4.8,4.9,14.0,secco,carne_rossa_umido|selvaggina|formaggi_stagionati,important_dinner,elegante;complesso;longevo;iconico,180.00,160.00,rare,,"Supertuscan iconico, blend bordolese di rara eleganza e complessità.","frutta_nera, spezie, cuoio, balsamico"
68,Nobile di Montepulciano DOCG,Avignonesi,Italy,Toscana,Montepulciano,Nobile di Montepulciano,2020,sangiovese,red,ruby_red,medium,medium,medium,4.2,4.1,4.0,13.5,secco,carne_rossa|pasta_ragu|formaggi_stagionati,dinner,elegante;equilibrato;tradizionale,28.00,22.00,common,,"Sangiovese toscano di tradizione, elegante e ben strutturato.","frutta_rossa, viola, spezie, cuoio"
69,Vernaccia di San Gimignano DOCG,Panizzi,Italy,Toscana,San Gimignano,Vernaccia di San Gimignano,2023,vernaccia,white,straw_yellow,medium,low,medium,3.8,3.9,3.6,13.0,secco,pesce|verdure|antipasti,lunch;everyday,fresco;minerale;sapido,14.00,11.00,common,,Bianco toscano di carattere con mineralità e freschezza.,"agrumi, fiori, minerale, mandorla"
70,Greco di Tufo DOCG,Feudi di San Gregorio,Italy,Campania,Tufo,Greco di Tufo,2022,greco,white,golden_yellow,medium,low,high,4.1,4.2,4.0,13.0,secco,pesce|crostacei|verdure,dinner,minerale;fresco;complesso,16.00,13.00,common,,Bianco campano minerale e complesso con grande freschezza.,"agrumi, fiori, minerale, frutta_bianca"
71,Aglianico del Vulture DOC,Elena Fucci,Italy,Basilicata,Vulture,Aglianico del Vulture,2019,aglianico,red,deep_ruby,high,medium_plus,high,4.4,4.3,4.5,14.0,secco,carne_rossa_umido|selvaggina|formaggi_stagionati,important_dinner,potente;longevo;tannico;austero,35.00,28.00,limited,,Aglianico lucano potente e austero con grande potenziale di invecchiamento.,"frutta_nera, spezie, minerale, cuoio"
72,Friulano Colli Orientali DOC,Livio Felluga,Italy,Friuli-Venezia Giulia,Colli Orientali,Colli Orientali del Friuli,2022,friulano,white,straw_yellow,medium,low,medium,4.0,4.1,3.8,13.0,secco,pesce|prosciutto|risotto,lunch;dinner,elegante;mandorlato;sapido,18.00,15.00,common,,Bianco friulano elegante con nota ammandorlata caratteristica.,"agrumi, fiori, minerale, frutta_bianca"
73,Sauvignon Blanc Collio DOC,Venica & Venica,Italy,Friuli-Venezia Giulia,Collio,Collio,2023,sauvignon blanc,white,straw_yellow,medium,low,high,4.1,4.0,3.9,13.0,secco,pesce|crostacei|asparagi,dinner,aromatico;fresco;elegante,20.00,16.00,common,,Sauvignon friulano elegante e aromatico con bella freschezza.,"agrumi, fiori, minerale, gelsomino"
74,Primitivo di Manduria DOP,Gianfranco Fino,Italy,Puglia,Manduria,Primitivo di Manduria,2021,primitivo,red,deep_ruby,high,medium,low,4.0,3.8,4.0,14.5,secco,carne_rossa|formaggi_stagionati|pasta_ragu,dinner,potente;fruttato;caldo,25.00,20.00,common,,Rosso pugliese potente e avvolgente con frutto maturo.,"frutta_nera, spezie, vaniglia, balsamico"
75,Negroamaro Salento IGP,Schola Sarmenti,Italy,Puglia,Salento,Salento,2022,negroamaro,red,ruby_red,medium,medium,medium,3.7,3.8,3.6,13.5,secco,carne_rossa|pasta_ragu|pizza,everyday;dinner,fruttato;morbido;speziato,12.00,9.00,common,,"Rosso salentino morbido e fruttato, ottimo rapporto qualità/prezzo.","frutta_nera, spezie, balsamico, cuoio"
76,Cannonau di Sardegna DOC,Sella & Mosca,Italy,Sardegna,Sardegna,Cannonau di Sardegna,2022,cannonau,red,ruby_red,medium,medium,medium,3.8,3.9,3.7,13.5,secco,carne_rossa|formaggi|agnello,dinner;everyday,caldo;fruttato;speziato,14.00,11.00,common,,"Rosso sardo caldo e avvolgente, vitigno identitario della Sardegna.","frutta_nera, spezie, cuoio, balsamico"
77,Rioja Reserva DOC,López de Heredia,Spain,Rioja,Haro,Rioja,2014,tempranillo;garnacha;graciano,red,garnet,medium,medium,medium,4.5,4.6,4.5,13.5,secco,carne_rossa|agnello|formaggi_stagionati,dinner;important_dinner,elegante;longevo;tradizionale;complesso,35.00,28.00,common,,Rioja classica di grande eleganza con lungo affinamento in botte.,"ciliegia, spezie, cuoio, tostato"
